Point,X,Y,Z,Q1_deg,Q2_deg,Q3_deg,Q1_rad,Q2_rad,Q3_rad
0,-25476,-14708.6,22674,-150,10,0,-2.61799,0.174533,0
1,-24655.5,-16011.5,22779.3,-147,10.35,-0.3,-2.56563,0.180642,-0.00523599
2,-23768,-17268.5,22884.4,-144,10.7,-0.6,-2.51327,0.18675,-0.010472
3,-22816.1,-18476.2,22989.4,-141,11.05,-0.9,-2.46091,0.192859,-0.015708
4,-21802.6,-19631.2,23094.3,-138,11.4,-1.2,-2.40855,0.198968,-0.020944
5,-20730.4,-20730.4,23199.1,-135,11.75,-1.5,-2.35619,0.205076,-0.0261799
6,-19602.5,-21770.7,23303.8,-132,12.1,-1.8,-2.30383,0.211185,-0.0314159
7,-18422.2,-22749.5,23408.4,-129,12.45,-2.1,-2.25147,0.217293,-0.0366519
8,-17192.9,-23663.9,23512.8,-126,12.8,-2.4,-2.19911,0.223402,-0.0418879
9,-15918,-24511.6,23617.1,-123,13.15,-2.7,-2.14675,0.229511,-0.0471239
10,-14601.4,-25290.3,23721.2,-120,13.5,-3,-2.0944,0.235619,-0.0523599
11,-13246.6,-25997.9,23825.3,-117,13.85,-3.3,-2.04204,0.241728,-0.0575959
12,-11857.6,-26632.6,23929.1,-114,14.2,-3.6,-1.98968,0.247837,-0.0628319
13,-10438.3,-27192.6,24032.9,-111,14.55,-3.9,-1.93732,0.253945,-0.0680678
14,-8992.68,-27676.6,24136.5,-108,14.9,-4.2,-1.88496,0.260054,-0.0733038
15,-7524.92,-28083.4,24239.9,-105,15.25,-4.5,-1.8326,0.266163,-0.0785398
16,-6039.13,-28411.9,24343.2,-102,15.6,-4.8,-1.78024,0.272271,-0.0837758
17,-4539.51,-28661.3,24446.4,-99,15.95,-5.1,-1.72788,0.27838,-0.0890118
18,-3030.28,-28831.2,24549.3,-96,16.3,-5.4,-1.67552,0.284489,-0.0942478
19,-1515.7,-28921.2,24652.1,-93,16.65,-5.7,-1.62316,0.290597,-0.0994838
20,1.68373e-09,-28931.2,24754.8,-90,17,-6,-1.5708,0.296706,-0.10472
21,1512.56,-28861.3,24857.3,-87,17.35,-6.3,-1.51844,0.302815,-0.109956
22,3017.75,-28712,24959.6,-84,17.7,-6.6,-1.46608,0.308923,-0.115192
23,4511.37,-28483.7,25061.7,-81,18.05,-6.9,-1.41372,0.315032,-0.120428
24,5989.27,-28177.3,25163.6,-78,18.4,-7.2,-1.36136,0.321141,-0.125664
25,7447.34,-27793.9,25265.4,-75,18.75,-7.5,-1.309,0.327249,-0.1309
26,8881.54,-27334.6,25366.9,-72,19.1,-7.8,-1.25664,0.333358,-0.136136
27,10287.9,-26800.9,25468.3,-69,19.45,-8.1,-1.20428,0.339467,-0.141372
28,11662.6,-26194.5,25569.5,-66,19.8,-8.4,-1.15192,0.345575,-0.146608
29,13001.7,-25517.3,25670.5,-63,20.15,-8.7,-1.09956,0.351684,-0.151844
30,14301.8,-24771.4,25771.3,-60,20.5,-9,-1.0472,0.357792,-0.15708
31,15559.1,-23958.9,25871.9,-57,20.85,-9.3,-0.994838,0.363901,-0.162316
32,16770.3,-23082.3,25972.2,-54,21.2,-9.6,-0.942478,0.37001,-0.167552
33,17932.1,-22144.3,26072.4,-51,21.55,-9.9,-0.890118,0.376118,-0.172788
34,19041.4,-21147.6,26172.4,-48,21.9,-10.2,-0.837758,0.382227,-0.178024
35,20095.2,-20095.2,26272.1,-45,22.25,-10.5,-0.785398,0.388336,-0.18326
36,21090.7,-18990.2,26371.6,-42,22.6,-10.8,-0.733038,0.394444,-0.188496
37,22025.3,-17835.8,26470.9,-39,22.95,-11.1,-0.680678,0.400553,-0.193732
38,22896.5,-16635.3,26570,-36,23.3,-11.4,-0.628319,0.406662,-0.198968
39,23702.1,-15392.3,26668.8,-33,23.65,-11.7,-0.575959,0.41277,-0.204204
40,24439.9,-14110.4,26767.4,-30,24,-12,-0.523599,0.418879,-0.20944
41,25108.2,-12793.2,26865.8,-27,24.35,-12.3,-0.471239,0.424988,-0.214675
42,25705.1,-11444.7,26963.9,-24,24.7,-12.6,-0.418879,0.431096,-0.219911
43,26229.4,-10068.5,27061.8,-21,25.05,-12.9,-0.366519,0.437205,-0.225147
44,26679.6,-8668.73,27159.4,-18,25.4,-13.2,-0.314159,0.443314,-0.230383
45,27054.8,-7249.32,27256.8,-15,25.75,-13.5,-0.261799,0.449422,-0.235619
46,27354.2,-5814.31,27353.9,-12,26.1,-13.8,-0.20944,0.455531,-0.240855
47,27577.1,-4367.78,27450.8,-9,26.45,-14.1,-0.15708,0.46164,-0.246091
48,27723.2,-2913.82,27547.4,-6,26.8,-14.4,-0.10472,0.467748,-0.251327
49,27792.2,-1456.53,27643.7,-3,27.15,-14.7,-0.0523599,0.473857,-0.256563
50,27784.4,4.9105e-10,27739.8,2.54444e-14,27.5,-15,4.44089e-16,0.479966,-0.261799
51,27699.8,1451.69,27835.7,3,27.85,-15.3,0.0523599,0.486074,-0.267035
52,27539.1,2894.47,27931.2,6,28.2,-15.6,0.10472,0.492183,-0.272271
53,27302.9,4324.35,28026.5,9,28.55,-15.9,0.15708,0.498292,-0.277507
54,26992.1,5737.35,28121.5,12,28.9,-16.2,0.20944,0.5044,-0.282743
55,26607.9,7129.56,28216.2,15,29.25,-16.5,0.261799,0.510509,-0.287979
56,26151.6,8497.16,28310.6,18,29.6,-16.8,0.314159,0.516617,-0.293215
57,25624.7,9836.39,28404.8,21,29.95,-17.1,0.366519,0.522726,-0.298451
58,25029,11143.6,28498.6,24,30.3,-17.4,0.418879,0.528835,-0.303687
59,24366.3,12415.3,28592.2,27,30.65,-17.7,0.471239,0.534943,-0.308923
60,23638.9,13647.9,28685.5,30,31,-18,0.523599,0.541052,-0.314159
61,22848.9,14838.2,28778.4,33,31.35,-18.3,0.575959,0.547161,-0.319395
62,21998.8,15983,28871.1,36,31.7,-18.6,0.628319,0.553269,-0.324631
63,21091.2,17079.3,28963.4,39,32.05,-18.9,0.680678,0.559378,-0.329867
64,20128.9,18124.2,29055.5,42,32.4,-19.2,0.733038,0.565487,-0.335103
65,19114.8,19114.8,29147.2,45,32.75,-19.5,0.785398,0.571595,-0.340339
66,18052,20048.8,29238.7,48,33.1,-19.8,0.837758,0.577704,-0.345575
67,16943.6,20923.6,29329.8,51,33.45,-20.1,0.890118,0.583813,-0.350811
68,15792.9,21737.1,29420.6,54,33.8,-20.4,0.942478,0.589921,-0.356047
69,14603.4,22487.2,29511,57,34.15,-20.7,0.994838,0.59603,-0.361283
70,13378.4,23172.1,29601.2,60,34.5,-21,1.0472,0.602139,-0.366519
71,12121.6,23790,29691,63,34.85,-21.3,1.09956,0.608247,-0.371755
72,10836.7,24339.7,29780.5,66,35.2,-21.6,1.15192,0.614356,-0.376991
73,9527.4,24819.7,29869.6,69,35.55,-21.9,1.20428,0.620465,-0.382227
74,8197.44,25229.1,29958.4,72,35.9,-22.2,1.25664,0.626573,-0.387463
75,6850.67,25567,30046.9,75,36.25,-22.5,1.309,0.632682,-0.392699
76,5490.94,25832.8,30135,78,36.6,-22.8,1.36136,0.638791,-0.397935
77,4122.12,26026,30222.8,81,36.95,-23.1,1.41372,0.644899,-0.403171
78,2748.11,26146.5,30310.2,84,37.3,-23.4,1.46608,0.651008,-0.408407
79,1372.78,26194.2,30397.3,87,37.65,-23.7,1.51844,0.657116,-0.413643
80,6.26641e-10,26169.2,30484,90,38,-24,1.5708,0.663225,-0.418879
81,-1366.38,26072.1,30570.4,93,38.35,-24.3,1.62316,0.669334,-0.424115
82,-2722.56,25903.4,30656.4,96,38.7,-24.6,1.67552,0.675442,-0.429351
83,-4064.76,25663.9,30742,99,39.05,-24.9,1.72788,0.681551,-0.434587
84,-5389.29,25354.6,30827.3,102,39.4,-25.2,1.78024,0.68766,-0.439823
85,-6692.51,24976.8,30912.2,105,39.75,-25.5,1.8326,0.693768,-0.445059
86,-7970.86,24531.8,30996.7,108,40.1,-25.8,1.88496,0.699877,-0.450295
87,-9220.87,24021.2,31080.9,111,40.45,-26.1,1.93732,0.705986,-0.455531
88,-10439.2,23446.7,31164.7,114,40.8,-26.4,1.98968,0.712094,-0.460767
89,-11622.4,22810.3,31248.1,117,41.15,-26.7,2.04204,0.718203,-0.466003
90,-12767.6,22114.1,31331.1,120,41.5,-27,2.0944,0.724312,-0.471239
91,-13871.6,21360.4,31413.7,123,41.85,-27.3,2.14675,0.73042,-0.476475
92,-14931.5,20551.5,31496,126,42.2,-27.6,2.19911,0.736529,-0.481711
93,-15944.6,19690,31577.8,129,42.55,-27.9,2.25147,0.742638,-0.486947
94,-16908.3,18778.6,31659.3,132,42.9,-28.2,2.30383,0.748746,-0.492183
95,-17820.1,17820.1,31740.4,135,43.25,-28.5,2.35619,0.754855,-0.497419
96,-18677.8,16817.6,31821.1,138,43.6,-28.8,2.40855,0.760964,-0.502655
97,-19479.1,15773.9,31901.3,141,43.95,-29.1,2.46091,0.767072,-0.507891
98,-20222.2,14692.3,31981.2,144,44.3,-29.4,2.51327,0.773181,-0.513127
99,-20905.3,13576.1,32060.7,147,44.65,-29.7,2.56563,0.77929,-0.518363
100,-21526.8,12428.5,32139.7,150,45,-30,2.61799,0.785398,-0.523599
